REF_DATE,GEO,Sex,Statistics,UOM,Creatinine (urine) (mmol/L),Ferritin  (µg/L),Parathyroid hormone (pmol/L),Potassium (urine) (mmol/L),Red blood cell folate (nmol/L),Sodium (urine) (mmol/L),Vitamin B12 (pmol/L),Vitamin C (ng/mL),Vitamin D (nmol/L)
2009,Canada,Both sexes,10th Percentile,Nanomoles per litre (nmol/L),,,,,740.75,,,,38.233333333333334
2009,Canada,Both sexes,25th Percentile,Nanomoles per litre (nmol/L),,,,,958.7916666666666,,,,51.30833333333333
2009,Canada,Both sexes,50th Percentile,Nanomoles per litre (nmol/L),,,,,1235.875,,,,67.02916666666667
2009,Canada,Both sexes,5th Percentile,Nanomoles per litre (nmol/L),,,,,622.8333333333334,,,,30.591666666666665
2009,Canada,Both sexes,75th Percentile,Nanomoles per litre (nmol/L),,,,,1581.375,,,,84.04166666666667
2009,Canada,Both sexes,90th Percentile,Nanomoles per litre (nmol/L),,,,,1954.1666666666667,,,,100.60000000000001
2009,Canada,Both sexes,95th Percentile,Nanomoles per litre (nmol/L),,,,,2192.5416666666665,,,,112.78333333333335
2009,Canada,Both sexes,Measure of central tendency,Nanomoles per litre (nmol/L),,,,,1302.4166666666667,,,,69.00833333333333
2009,Canada,Females,10th Percentile,Nanomoles per litre (nmol/L),,,,,751.625,,,,39.72916666666666
2009,Canada,Females,25th Percentile,Nanomoles per litre (nmol/L),,,,,964.2083333333334,,,,52.708333333333336
2009,Canada,Females,50th Percentile,Nanomoles per litre (nmol/L),,,,,1245.3333333333333,,,,68.48749999999998
2009,Canada,Females,5th Percentile,Nanomoles per litre (nmol/L),,,,,620.4166666666666,,,,31.925
2009,Canada,Females,75th Percentile,Nanomoles per litre (nmol/L),,,,,1610.375,,,,85.37500000000001
2009,Canada,Females,90th Percentile,Nanomoles per litre (nmol/L),,,,,2017.4583333333333,,,,103.16250000000001
2009,Canada,Females,95th Percentile,Nanomoles per litre (nmol/L),,,,,2278.75,,,,115.03333333333335
2009,Canada,Females,Measure of central tendency,Nanomoles per litre (nmol/L),,,,,1326.625,,,,70.57916666666667
2009,Canada,Males,10th Percentile,Nanomoles per litre (nmol/L),,,,,724.0,,,,36.44166666666667
2009,Canada,Males,25th Percentile,Nanomoles per litre (nmol/L),,,,,952.5,,,,49.90833333333331
2009,Canada,Males,50th Percentile,Nanomoles per litre (nmol/L),,,,,1229.5833333333333,,,,65.72083333333335
2009,Canada,Males,5th Percentile,Nanomoles per litre (nmol/L),,,,,618.625,,,,29.96666666666667
2009,Canada,Males,75th Percentile,Nanomoles per litre (nmol/L),,,,,1551.8333333333333,,,,82.40833333333333
2009,Canada,Males,90th Percentile,Nanomoles per litre (nmol/L),,,,,1884.0833333333333,,,,98.325
2009,Canada,Males,95th Percentile,Nanomoles per litre (nmol/L),,,,,2109.75,,,,109.08749999999999
